GEOID,unique_id,race_imputed,imputation_probability,date,city,state,zip,county,highest_force,armed,Total_popE,NH_WhiteE,NH_BlackE,Hisp_LatinoE,IncomeE,income_quartile,income_quintile,income_percentile,income_bins_200,NH_WhiteP,NH_BlackP,Hisp_LatinoP,Majority
48029172004,29049,White,,2020-11-03,San Antonio,TX,78253,Bexar,Gunshot,Armed,7404,2727,612,2891,106571,4,5,87,174,0.36831442463533226,0.08265802269043761,0.3904646137223123,
12101031401,29048,White,,2020-11-03,New Port Richey,FL,34652,Pasco,Gunshot,Armed,4357,3103,318,848,37115,1,1,13,25,0.7121872848290108,0.07298599954096856,0.1946293321092495,White
32003005364,29050,White,0.782851,2020-11-03,Henderson,NV,89074,Clark,Gunshot,Armed,5728,3779,132,1042,89712,4,4,78,156,0.6597416201117319,0.023044692737430168,0.18191340782122906,White
48245000101,29078,White,0.723897,2020-11-03,Beaumont,TX,77713,Jefferson,Gunshot,Armed,4726,1638,2163,728,55168,2,2,40,79,0.3465933135844266,0.4576809140922556,0.15404147270418958,
06001409400,29080,Other/Unknown,,2020-11-03,Oakland,CA,94603,Alameda,Gunshot,Uncertain,5141,215,657,3797,41628,1,1,18,36,0.0418206574596382,0.12779614860922,0.7385722622057965,Hispanic/Latino
48309000100,29111,Black,,2020-11-03,Waco,TX,76706,McLennan,Asphyxiated/Restrained,Unarmed,1979,894,336,704,28611,1,1,5,10,0.4517433046993431,0.16978271854471955,0.35573521980798384,
32003005364,29236,Other/Unknown,,2020-11-03,Henderson,NV,89074,Clark,Gunshot,Unarmed,5728,3779,132,1042,89712,4,4,78,156,0.6597416201117319,0.023044692737430168,0.18191340782122906,White
29077001200,29046,White,,2020-11-02,Springfield,MO,65807,Greene,Gunshot,Armed,3836,3254,59,202,50360,2,2,31,62,0.8482794577685089,0.015380604796663191,0.05265901981230448,White
25017338200,29047,White,0.980914,2020-11-02,Winchester,MA,01890,Middlesex,Gunshot,Armed,4135,2668,73,103,122296,4,5,92,184,0.645223700120919,0.01765417170495768,0.0249093107617896,White
25009207100,29077,White,,2020-11-02,Lynn,MA,01905,Essex,Gunshot,Uncertain,3796,495,309,2094,63527,3,3,52,103,0.1304004214963119,0.08140147523709168,0.5516332982086407,Hispanic/Latino
18071967600,29044,White,0.978932,2020-11-01,Seymour,IN,47274,Jackson,Gunshot,Armed,4534,3716,48,688,43676,1,2,21,42,0.819585355094839,0.0105866784296427,0.1517423908248787,White
53053073406,29045,White,0.948637,2020-11-01,Puyallup,WA,98372,Pierce,Gunshot,Armed,6386,4965,130,459,87500,4,4,77,153,0.7774819918571876,0.020357031005324145,0.07187597870341372,White
40041376100,29076,Other/Unknown,,2020-11-01,Kenwood,OK,74365,Delaware,Gunshot,Armed,5183,2165,32,146,33611,1,1,9,18,0.4177117499517654,0.006174030484275516,0.028169014084507043,
47009010600,29043,White,,2020-10-31,Maryville,TN,37801,Blount,Gunshot,Armed,4266,3681,207,68,46597,2,2,26,51,0.8628691983122363,0.04852320675105485,0.015939990623534926,White
08031004303,29074,White,,2020-10-31,Denver,CO,80246,Arapahoe,Gunshot,Unarmed,4003,3149,50,353,193542,4,5,100,199,0.7866600049962528,0.012490632025980514,0.08818386210342244,White
26163506300,29040,Other/Unknown,,2020-10-30,Detroit,MI,48234,Wayne,Gunshot,Armed,1491,35,1423,4,25444,1,1,4,7,0.023474178403755867,0.95439302481556,0.0026827632461435278,Black
47065003300,29041,Black,0.900188,2020-10-30,Chattanooga,TN,37411,Hamilton,Gunshot,Armed,6615,1869,4040,391,41020,1,1,18,35,0.28253968253968254,0.6107331821617535,0.05910808767951625,Black
48141001204,29042,Hispanic/Latino,,2020-10-30,El Paso,TX,79912,El Paso,Gunshot,Unarmed,5056,180,69,4701,29012,1,1,6,11,0.03560126582278481,0.013647151898734177,0.9297863924050633,Hispanic/Latino
53011041010,29038,Black,,2020-10-29,Vancouver,WA,98665,Clark,Gunshot,Armed,3820,3043,35,460,51268,2,2,33,65,0.7965968586387434,0.009162303664921465,0.12041884816753927,White
41047000900,29039,Hispanic/Latino,0.840734,2020-10-29,Salem,OR,97301,Marion,Gunshot,Armed,5727,4275,141,572,51709,2,2,34,67,0.7464641173389209,0.02462022001047669,0.09987777195739479,White
04019002507,29036,Hispanic/Latino,,2020-10-28,Tucson,AZ,85746,Pima,Gunshot,Armed,3205,499,107,2518,39471,1,1,16,31,0.15569422776911077,0.03338533541341654,0.7856474258970358,Hispanic/Latino
21221970301,29037,White,,2020-10-28,Cadiz,KY,42211,Trigg,Gunshot,Unarmed,2542,2346,0,183,67639,3,3,57,114,0.9228953579858379,0,0.07199055861526357,White
06029000800,29144,Hispanic/Latino,,2020-10-28,Bakersfield,CA,93305,Kern,Gunshot,Armed,5431,1555,258,3436,57069,2,3,43,85,0.2863192782176395,0.047505063524212854,0.6326643343767262,Hispanic/Latino
12099004817,29032,White,,2020-10-27,Lake Worth,FL,33467,Palm Beach,Gunshot,Armed,4040,2337,292,1373,33951,1,1,10,19,0.5784653465346534,0.07227722772277227,0.3398514851485149,White
32003004717,29033,Black,,2020-10-27,Las Vegas,NV,89115,Clark,Gunshot,Armed,3514,519,76,2807,57016,2,3,42,84,0.1476949345475242,0.021627774615822423,0.798804780876494,Hispanic/Latino
47065011448,29034,White,0.587889,2020-10-27,Chattanooga,TN,37421,Hamilton,Gunshot,Armed,3975,2440,1157,309,44561,1,2,23,45,0.6138364779874214,0.2910691823899371,0.07773584905660377,White
49035113113,29035,White,,2020-10-27,Herriman,UT,84096,Salt Lake,Gunshot,Uncertain,7702,7081,0,318,87754,4,4,77,153,0.9193715917943391,0,0.04128797714879252,White
42101008301,29029,Black,,2020-10-26,Philadelphia,PA,19139,Philadelphia,Gunshot,Armed,4751,98,4253,332,33478,1,1,9,18,0.020627236371290256,0.8951799621132394,0.06988002525784046,Black
06067008124,29030,White,0.969136,2020-10-26,Citrus Heights,CA,95610,Sacramento,Gunshot,Armed,4866,4138,15,418,82969,3,4,73,146,0.8503904644471846,0.0030826140567200987,0.08590217838060009,White
51510201805,29031,White,0.64638,2020-10-26,Alexandria,VA,22314,Fairfax,Gunshot,Armed,3345,2469,532,169,144375,4,5,96,192,0.7381165919282511,0.15904334828101643,0.05052316890881913,White
04013612200,29027,White,,2020-10-25,Phoenix,AZ,85085,Maricopa,Gunshot,Armed,6276,4686,127,743,91343,4,4,79,158,0.7466539196940727,0.020235818992989166,0.11838750796685787,White
18029080301,29024,White,,2020-10-24,Lawrenceburg,IN,47025,Dearborn,Gunshot,Armed,3715,3635,58,0,41250,1,1,18,35,0.9784656796769852,0.015612382234185734,0,White
26099261500,29025,Other/Unknown,,2020-10-24,Warren,MI,48088,Macomb,Gunshot,Armed,3474,1912,1194,127,62961,3,3,51,102,0.5503742084052965,0.3436960276338515,0.03655728267127231,White
13321950202,29026,Black,,2020-10-24,Sylvester,GA,31791,Worth,Gunshot,Armed,4284,2522,1687,6,51147,2,2,33,65,0.588702147525677,0.3937908496732026,0.0014005602240896359,White
29037060700,29069,White,,2020-10-24,Garden City,MO,64747,Cass,Gunshot,Armed,3704,3386,0,58,59620,2,3,46,92,0.9141468682505399,0,0.01565874730021598,White
29095015401,29016,Black,,2020-10-23,Kansas City,MO,64106,Jackson,Gunshot,Armed,3065,534,2123,195,13535,1,1,1,1,0.17422512234910278,0.6926590538336053,0.0636215334420881,Black
17031300600,29017,Hispanic/Latino,,2020-10-23,Chicago,IL,60623,Cook,Gunshot,Armed,2757,89,321,2320,43937,1,2,22,43,0.03228146536089953,0.11643090315560392,0.8414943779470438,Hispanic/Latino
55075960200,29019,White,0.996824,2020-10-23,Goodman,WI,54125,Marinette,Gunshot,Armed,3717,3541,15,46,41891,1,1,19,37,0.9526499865482916,0.004035512510088781,0.012375571697605597,White
06071007202,29020,Other/Unknown,,2020-10-23,Loma Linda,CA,92408,San Bernardino,Gunshot,Armed,2206,259,41,1500,58899,2,3,45,90,0.11740707162284678,0.0185856754306437,0.6799637352674524,Hispanic/Latino
48479001001,29021,Hispanic/Latino,,2020-10-23,Laredo,TX,78043,Webb,Gunshot,Armed,4456,106,0,4331,35750,1,1,11,22,0.02378815080789946,0,0.9719479353680431,Hispanic/Latino
49057210101,29022,White,,2020-10-23,Huntsville,UT,84317,Weber,Gunshot,Armed,3304,3202,19,78,105375,4,5,87,173,0.9691283292978208,0.0057506053268765135,0.02360774818401937,White
06073010009,29023,Hispanic/Latino,,2020-10-23,San Diego,CA,92173,San Diego,Gunshot,Unarmed,6514,78,157,6056,50809,2,2,32,64,0.01197420939514891,0.024101934295363833,0.9296898986797667,Hispanic/Latino
06071011801,29007,Other/Unknown,,2020-10-22,Barstow,CA,92311,San Bernardino,Gunshot,Armed,3560,1670,231,1523,66693,3,3,56,112,0.4691011235955056,0.0648876404494382,0.42780898876404494,
02020000205,29008,White,0.929414,2020-10-22,Eagle River,AK,99577,Anchorage,Gunshot,Armed,7362,6075,36,489,109813,4,5,89,177,0.8251833740831296,0.004889975550122249,0.06642216788916055,White
04021001307,29011,Hispanic/Latino,,2020-10-22,Casa Grande,AZ,85122,Pinal,Gunshot,Armed,4565,2559,104,1390,50323,2,2,31,62,0.5605695509309967,0.022782037239868564,0.3044906900328587,White
06071005602,29012,Black,,2020-10-22,San Bernardino,CA,92410,San Bernardino,Gunshot,Armed,2607,363,266,1921,39625,1,1,16,31,0.13924050632911392,0.10203298810893748,0.7368622938243191,Hispanic/Latino
54087962901,29013,White,0.995645,2020-10-22,Kettle,WV,25286,Roane,Gunshot,Unarmed,2077,1896,0,62,42431,1,1,20,39,0.9128550794415021,0,0.029850746268656716,White
12053041401,28996,White,,2020-10-21,Spring Hill,FL,34606,Hernando,Gunshot,Armed,5946,4858,133,818,36565,1,1,12,24,0.8170198452741338,0.022367978472922972,0.13757147662293978,White
28059041400,29006,Black,,2020-10-21,Moss Point,MS,39563,Jackson,Gunshot,Armed,3066,1059,1921,38,56848,2,3,42,84,0.34540117416829746,0.6265492498369211,0.012393998695368558,Black
12081001107,29065,White,0.972912,2020-10-21,Bradenton,FL,34209,Manatee,Gunshot,Armed,4041,3154,84,547,60609,2,3,48,95,0.7804998762682505,0.020786933927245732,0.13536253402623113,White
12057003600,28989,Black,,2020-10-20,Tampa,FL,33619,Hillsborough,Gunshot,Armed,5041,510,3010,1417,22094,1,1,2,4,0.1011704026978774,0.5971037492561,0.28109502082920057,Black
04013110702,28990,Hispanic/Latino,,2020-10-20,Phoenix,AZ,85016,Maricopa,Gunshot,Unarmed,4559,1555,104,2690,66250,3,3,56,111,0.3410835709585435,0.022812020179864004,0.5900416758060978,Hispanic/Latino
04013110702,28991,Hispanic/Latino,,2020-10-20,Phoenix,AZ,85016,Maricopa,Gunshot,Armed,4559,1555,104,2690,66250,3,3,56,111,0.3410835709585435,0.022812020179864004,0.5900416758060978,Hispanic/Latino
17097862300,28992,Black,,2020-10-20,Waukegan,IL,60085,Lake,Gunshot,Unarmed,2790,253,1281,1008,16909,1,1,1,2,0.0906810035842294,0.4591397849462366,0.36129032258064514,
12033002604,28993,Other/Unknown,,2020-10-20,Perdido Key,FL,32507,Escambia,Gunshot,Armed,4049,3251,90,271,75786,3,4,67,133,0.8029142998271178,0.02222771054581378,0.06693010619906149,White
39061025700,28994,Black,,2020-10-20,Elmwood Place,OH,45216,Hamilton,Gunshot,Armed,2071,1587,393,26,31011,1,1,7,13,0.7662964751327861,0.18976339932399808,0.012554321583775953,White
